cluster	length	species	N	S	dN	dS	NdN	SdS	w	lnl
ENSGACT00000000017	729	ds	569.1	159.9	0.007502	0.000016	4.2693882	0.0025584	473.549	-2008.330088
ENSGACT00000000017	729	gac	569.1	159.9	0.025502	0.164475	14.5131882	26.2995525	0.155054	-2008.330088
ENSGACT00000000017	729	pol	569.1	159.9	0.019672	0.320832	11.1953352	51.3010368	0.0613147	-2008.330088
ENSGACT00000000017	729	ss	569.1	159.9	0.009362	0.133406	5.3279142	21.3316194	0.0701745	-2008.330088
ENSGACT00000000017	729	tor	569.1	159.9	0.011388	0.291629	6.4809108	46.6314771	0.0390482	-2008.330088
ENSGACT00000000026	993	ds	833.3	159.7	0.011504	0.000012	9.5862832	0.0019164	999	-2813.242280
ENSGACT00000000026	993	gac	833.3	159.7	0.032061	0.404953	26.7164313	64.6709941	0.0791723	-2813.242280
ENSGACT00000000026	993	pol	833.3	159.7	0.023492	0.238817	19.5758836	38.1390749	0.0983679	-2813.242280
ENSGACT00000000026	993	ss	833.3	159.7	0.025990	0.105664	21.657467	16.8745408	0.245964	-2813.242280
ENSGACT00000000026	993	tor	833.3	159.7	0.010370	0.369529	8.641321	59.0137813	0.0280637	-2813.242280
ENSGACT00000000034	498	ds	396.9	101.1	0.018402	0.068756	7.3037538	6.9512316	0.267637	-1502.550457
ENSGACT00000000034	498	gac	396.9	101.1	0.024843	0.313284	9.8601867	31.6730124	0.0792983	-1502.550457
ENSGACT00000000034	498	pol	396.9	101.1	0.059952	0.254958	23.7949488	25.7762538	0.235144	-1502.550457
ENSGACT00000000034	498	ss	396.9	101.1	0.018703	0.056973	7.4232207	5.7599703	0.32827	-1502.550457
ENSGACT00000000034	498	tor	396.9	101.1	0.017095	0.337154	6.7850055	34.0862694	0.0507039	-1502.550457
ENSGACT00000000040	1569	ds	1276.5	292.5	0.003122	0.015479	3.985233	4.5276075	0.201703	-3616.624233
ENSGACT00000000040	1569	gac	1276.5	292.5	0.008335	0.011774	10.6396275	3.443895	0.707886	-3616.624233
ENSGACT00000000040	1569	pol	1276.5	292.5	0.004442	0.260239	5.670213	76.1199075	0.017068	-3616.624233
ENSGACT00000000040	1569	ss	1276.5	292.5	0.005594	0.075261	7.140741	22.0138425	0.0743349	-3616.624233
ENSGACT00000000040	1569	tor	1276.5	292.5	0.000846	0.124182	1.079919	36.323235	0.00681219	-3616.624233
ENSGACT00000000043	2463	ds	2023.8	439.2	0.003916	0.000004	7.9252008	0.0017568	999	-7151.970114
ENSGACT00000000043	2463	gac	2023.8	439.2	0.043318	0.311516	87.6669684	136.8178272	0.139055	-7151.970114
ENSGACT00000000043	2463	pol	2023.8	439.2	0.028967	0.267763	58.6234146	117.6015096	0.108183	-7151.970114
ENSGACT00000000043	2463	ss	2023.8	439.2	0.027180	0.182099	55.006884	79.9778808	0.14926	-7151.970114
ENSGACT00000000043	2463	tor	2023.8	439.2	0.012593	0.212119	25.4857134	93.1626648	0.0593662	-7151.970114
ENSGACT00000000045	2436	ds	1966.2	469.8	0.003918	0.015471	7.7035716	7.2682758	0.253231	-6841.066978
ENSGACT00000000045	2436	gac	1966.2	469.8	0.033263	0.192733	65.4017106	90.5459634	0.172585	-6841.066978
ENSGACT00000000045	2436	pol	1966.2	469.8	0.035558	0.269539	69.9141396	126.6294222	0.13192	-6841.066978
ENSGACT00000000045	2436	ss	1966.2	469.8	0.012740	0.106896	25.049388	50.2197408	0.119185	-6841.066978
ENSGACT00000000045	2436	tor	1966.2	469.8	0.014260	0.221096	28.038012	103.8709008	0.0644959	-6841.066978
ENSGACT00000000049	1146	ds	961.8	184.2	0.006936	0.068095	6.6710448	12.543099	0.10185	-3381.345360
